,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
40,PADLR Sandakan (SL),201702019,14,4,2,18,10,9,24,75,0,0,0,2,0
41,S Snater (NL),201802019,13,6,1,18,10,3.6,16,112.5,0,0,2,0,1
42,S Thuraisingam (CAN),200802008,3,2,1,18,15,18,24,75,0,0,0,1,0
43,JW Wilson (NZ),200502005,1,1,0,18,18,18,14,128.57,0,0,0,2,0
44,HN Ya France (NAM),201902019,6,3,0,18,13,6,20,90,0,0,1,1,1
45,TL Best (WI),201302014,6,1,1,17,17*,0,9,188.88,0,0,0,0,2
46,D Bishoo (WI),201102019,7,4,2,17,8,8.5,29,58.62,0,0,1,2,0
47,TA Blundell (NZ),201702018,3,2,1,17,14,17,21,80.95,0,0,0,0,0
48,LA Dawson (ENG),201602018,6,2,1,17,10,17,8,212.5,0,0,0,2,1
49,RR Emrit (WI),201802018,4,3,0,17,11,5.66,27,62.96,0,0,0,0,1
0,D Gim (NGA),201902019,6,4,2,17,9*,8.5,32,53.12,0,0,1,0,0
1,S Kizilkaya (TKY),201902019,4,4,0,17,8,4.25,28,60.71,0,0,1,3,0
2,L Louwrens (NAM),201902019,1,1,1,17,17*,0,15,113.33,0,0,0,1,1
3,JH Mensah (Ghana),201902019,2,2,0,17,16,8.5,10,170,0,0,0,1,1
4,LN Onyango (KENYA),200702010,5,4,2,17,5,8.5,21,80.95,0,0,0,0,0
5,TK Patel (USA),201902019,7,3,3,17,14*,0,18,94.44,0,0,0,1,0
6,K Pierre (WI),201802019,8,4,2,17,9*,8.5,23,73.91,0,0,0,2,0
7,Rubel Hossain (BDESH),200902018,27,14,9,17,8*,3.4,30,56.66,0,0,4,1,0
8,GR Russ (PHI),201902019,3,2,1,17,10,17,29,58.62,0,0,0,0,0
9,SE Rutherford (WI),201802019,3,3,0,17,9,5.66,23,73.91,0,0,0,1,0
10,Shafraz Jaleel (Mald),201902019,4,3,0,17,17,5.66,14,121.42,0,0,2,1,1
11,JR Singleton (),201902019,3,3,0,17,7,5.66,26,65.38,0,0,0,3,0
